Dark Matter mass = 339.322 GeV
Coupling = 9.14787e-12T in GeV, sigmav in GeV^-2
Channel: all
#############################
T,sigmav
500.403,1.45441e-33
522.358,1.37755e-33
545.276,1.30229e-33
569.199,1.22895e-33
594.172,1.15778e-33
620.24,1.08898e-33
647.452,1.02273e-33
675.858,9.59132e-34
705.51,8.98253e-34
736.464,8.40187e-34
768.775,7.84929e-34
802.504,7.32472e-34
837.713,6.82789e-34
874.466,6.35835e-34
912.832,5.91533e-34
952.881,5.4984e-34
994.688,5.10656e-34
1038.33,4.73889e-34
1083.88,4.39433e-34
1131.44,4.07208e-34
1181.08,3.771e-34
1232.9,3.48995e-34
1286.99,3.22806e-34
1343.45,2.98422e-34
1402.39,2.75735e-34
1463.92,2.54657e-34
1528.15,2.35087e-34
1595.19,2.16927e-34
1665.18,2.00096e-34
1738.24,1.84501e-34
1814.5,1.70068e-34
1894.11,1.56711e-34
1977.21,1.44364e-34
2063.96,1.32954e-34
2154.51,1.22412e-34
2249.04,1.12681e-34
2347.71,1.03699e-34
2450.71,9.54129e-35
2558.24,8.77744e-35
2670.48,8.07311e-35
2787.64,7.42426e-35
2909.94,6.82635e-35
3037.61,6.27584e-35
3170.88,5.76884e-35
3310,5.30214e-35
3455.22,4.87276e-35
3606.82,4.47757e-35
3765.06,4.11413e-35
3930.25,3.77975e-35
4102.68,3.47226e-35
4282.68,3.18958e-35
4470.58,2.9297e-35
4666.72,2.69078e-35
4871.46,2.47119e-35
5085.19,2.26945e-35
5308.3,2.08401e-35
5541.19,1.91364e-35
5784.3,1.75711e-35
6038.08,1.61336e-35
6302.99,1.48128e-35
6579.53,1.35996e-35
6868.19,1.24853e-35
7169.53,1.14623e-35
7484.08,1.05226e-35
7812.43,9.65961e-36
8155.19,8.86722e-36
8512.99,8.13964e-36
8886.49,7.47161e-36
9276.37,6.85846e-36
9683.36,6.29535e-36
10108.2,5.77838e-36
10551.7,5.30379e-36
11014.6,4.86811e-36
11497.9,4.46816e-36
12002.3,4.10103e-36
12528.9,3.76402e-36
13078.6,3.45467e-36
13652.4,3.1708e-36
14251.4,2.91015e-36
14876.6,2.67091e-36
15529.3,2.45132e-36
16210.7,2.24977e-36
16921.9,2.06478e-36
17664.3,1.89499e-36
18439.3,1.73915e-36
19248.3,1.59612e-36
20092.8,1.46485e-36
20974.3,1.34437e-36
21894.6,1.23379e-36
22855.1,1.13231e-36
23857.9,1.03917e-36
24904.6,9.53687e-37
25997.3,8.75235e-37
27137.9,8.03235e-37
28328.5,7.37135e-37
29571.4,6.76492e-37
30868.8,6.20838e-37
32223.1,5.69761e-37
33636.8,5.22885e-37
35112.6,4.79866e-37
36653.1,4.40385e-37
38261.2,4.04152e-37
39939.9,3.709e-37
41692.2,3.40383e-37
43521.4,3.12368e-37
45430.8,2.86667e-37
47424,2.6308e-37
49504.7,2.41434e-37
51676.6,2.21568e-37
53943.9,2.03338e-37
56310.6,1.86601e-37
58781.1,1.71247e-37
61360.1,1.57157e-37
64052.2,1.44226e-37
66862.4,1.32358e-37
69795.9,1.21468e-37
72858.1,1.11469e-37
76054.6,1.02297e-37
79391.4,9.38801e-38
82874.6,8.61554e-38
86510.6,7.90638e-38
90306.1,7.25582e-38
94268.2,6.65879e-38
98404,6.11088e-38
102721,5.60788e-38
107228,5.14645e-38
111933,4.72299e-38
116844,4.33437e-38
121970,3.97759e-38
127321,3.65031e-38
132907,3.34995e-38
138738,3.07421e-38
